C_C,C_T,DAY,CNT
강력범죄 ,살인기수,SUN,46
강력범죄 ,살인기수,MON,66
강력범죄 ,살인기수,TUE,52
강력범죄 ,살인기수,WED,66
강력범죄 ,살인기수,THUR,41
강력범죄 ,살인기수,FRI,34
강력범죄 ,살인기수,SAT,37
강력범죄 ,살인미수등,SUN,101
강력범죄 ,살인미수등,MON,81
강력범죄 ,살인미수등,TUE,81
강력범죄 ,살인미수등,WED,79
강력범죄 ,살인미수등,THUR,90
강력범죄 ,살인미수등,FRI,78
강력범죄 ,살인미수등,SAT,77
강력범죄 ,강도,SUN,285
강력범죄 ,강도,MON,296
강력범죄 ,강도,TUE,275
강력범죄 ,강도,WED,288
강력범죄 ,강도,THUR,286
강력범죄 ,강도,FRI,290
강력범죄 ,강도,SAT,260
강력범죄 ,강간,SUN,925
강력범죄 ,강간,MON,759
강력범죄 ,강간,TUE,800
강력범죄 ,강간,WED,711
강력범죄 ,강간,THUR,767
강력범죄 ,강간,FRI,819
강력범죄 ,강간,SAT,972
강력범죄 ,유사강간,SUN,22
강력범죄 ,유사강간,MON,15
강력범죄 ,유사강간,TUE,15
강력범죄 ,유사강간,WED,18
강력범죄 ,유사강간,THUR,17
강력범죄 ,유사강간,FRI,19
강력범죄 ,유사강간,SAT,26
강력범죄 ,강제추행,SUN,2075
강력범죄 ,강제추행,MON,1999
강력범죄 ,강제추행,TUE,2075
강력범죄 ,강제추행,WED,2118
강력범죄 ,강제추행,THUR,2079
강력범죄 ,강제추행,FRI,2096
강력범죄 ,강제추행,SAT,2336
강력범죄 ,기타,SUN,273
강력범죄 ,기타,MON,221
강력범죄 ,기타,TUE,200
강력범죄 ,기타,WED,228
강력범죄 ,기타,THUR,229
강력범죄 ,기타,FRI,220
강력범죄 ,기타,SAT,276
강력범죄 ,방화,SUN,270
강력범죄 ,방화,MON,267
강력범죄 ,방화,TUE,215
강력범죄 ,방화,WED,258
강력범죄 ,방화,THUR,235
강력범죄 ,방화,FRI,220
강력범죄 ,방화,SAT,278
폭력범죄 ,상해,SUN,8173
폭력범죄 ,상해,MON,7402
폭력범죄 ,상해,TUE,8028
폭력범죄 ,상해,WED,7819
폭력범죄 ,상해,THUR,7764
폭력범죄 ,상해,FRI,7995
폭력범죄 ,상해,SAT,8703
폭력범죄 ,폭행,SUN,19611
폭력범죄 ,폭행,MON,16191
폭력범죄 ,폭행,TUE,17836
폭력범죄 ,폭행,WED,17643
폭력범죄 ,폭행,THUR,17363
폭력범죄 ,폭행,FRI,18549
폭력범죄 ,폭행,SAT,21506
폭력범죄 ,체포?감금,SUN,131
폭력범죄 ,체포?감금,MON,132
폭력범죄 ,체포?감금,TUE,149
폭력범죄 ,체포?감금,WED,121
폭력범죄 ,체포?감금,THUR,134
폭력범죄 ,체포?감금,FRI,145
폭력범죄 ,체포?감금,SAT,117
폭력범죄 ,협박,SUN,497
폭력범죄 ,협박,MON,749
폭력범죄 ,협박,TUE,710
폭력범죄 ,협박,WED,741
폭력범죄 ,협박,THUR,669
폭력범죄 ,협박,FRI,700
폭력범죄 ,협박,SAT,595
폭력범죄 ,약취?유인,SUN,23
폭력범죄 ,약취?유인,MON,39
폭력범죄 ,약취?유인,TUE,27
폭력범죄 ,약취?유인,WED,29
폭력범죄 ,약취?유인,THUR,28
폭력범죄 ,약취?유인,FRI,26
폭력범죄 ,약취?유인,SAT,16
폭력범죄 ,폭력행위등,SUN,7105
폭력범죄 ,폭력행위등,MON,5280
폭력범죄 ,폭력행위등,TUE,5570
폭력범죄 ,폭력행위등,WED,5466
폭력범죄 ,폭력행위등,THUR,5470
폭력범죄 ,폭력행위등,FRI,5646
폭력범죄 ,폭력행위등,SAT,7167
폭력범죄 ,공갈,SUN,490
폭력범죄 ,공갈,MON,682
폭력범죄 ,공갈,TUE,592
폭력범죄 ,공갈,WED,585
폭력범죄 ,공갈,THUR,664
폭력범죄 ,공갈,FRI,724
폭력범죄 ,공갈,SAT,573
폭력범죄 ,손괴,SUN,8529
폭력범죄 ,손괴,MON,7586
폭력범죄 ,손괴,TUE,7897
폭력범죄 ,손괴,WED,7740
폭력범죄 ,손괴,THUR,7905
폭력범죄 ,손괴,FRI,8511
폭력범죄 ,손괴,SAT,9645
지능범죄 ,직무유기,SUN,44
지능범죄 ,직무유기,MON,106
지능범죄 ,직무유기,TUE,92
지능범죄 ,직무유기,WED,85
지능범죄 ,직무유기,THUR,81
지능범죄 ,직무유기,FRI,97
지능범죄 ,직무유기,SAT,50
지능범죄 ,직권남용,SUN,26
지능범죄 ,직권남용,MON,58
지능범죄 ,직권남용,TUE,53
지능범죄 ,직권남용,WED,52
지능범죄 ,직권남용,THUR,61
지능범죄 ,직권남용,FRI,38
지능범죄 ,직권남용,SAT,37
지능범죄 ,증수뢰,SUN,15
지능범죄 ,증수뢰,MON,42
지능범죄 ,증수뢰,TUE,43
지능범죄 ,증수뢰,WED,52
지능범죄 ,증수뢰,THUR,44
지능범죄 ,증수뢰,FRI,33
지능범죄 ,증수뢰,SAT,24
지능범죄 ,통화,SUN,119
지능범죄 ,통화,MON,848
지능범죄 ,통화,TUE,725
지능범죄 ,통화,WED,609
지능범죄 ,통화,THUR,685
지능범죄 ,통화,FRI,710
지능범죄 ,통화,SAT,178
지능범죄 ,문서?인장,SUN,788
지능범죄 ,문서?인장,MON,3002
지능범죄 ,문서?인장,TUE,2632
지능범죄 ,문서?인장,WED,2528
지능범죄 ,문서?인장,THUR,2633
지능범죄 ,문서?인장,FRI,2759
지능범죄 ,문서?인장,SAT,1043
지능범죄 ,유가증권인지,SUN,40
지능범죄 ,유가증권인지,MON,77
지능범죄 ,유가증권인지,TUE,64
지능범죄 ,유가증권인지,WED,87
지능범죄 ,유가증권인지,THUR,78
지능범죄 ,유가증권인지,FRI,73
지능범죄 ,유가증권인지,SAT,37
지능범죄 ,사기,SUN,20398
지능범죄 ,사기,MON,46295
지능범죄 ,사기,TUE,45449
지능범죄 ,사기,WED,43920
지능범죄 ,사기,THUR,44068
지능범죄 ,사기,FRI,45061
지능범죄 ,사기,SAT,23891
지능범죄 ,횡령,SUN,3511
지능범죄 ,횡령,MON,5489
지능범죄 ,횡령,TUE,5293
지능범죄 ,횡령,WED,5044
지능범죄 ,횡령,THUR,5338
지능범죄 ,횡령,FRI,5940
지능범죄 ,횡령,SAT,4277
지능범죄 ,배임,SUN,338
지능범죄 ,배임,MON,752
지능범죄 ,배임,TUE,809
지능범죄 ,배임,WED,734
지능범죄 ,배임,THUR,772
지능범죄 ,배임,FRI,800
지능범죄 ,배임,SAT,412
풍속범죄 ,성풍속범죄,SUN,1972
풍속범죄 ,성풍속범죄,MON,3094
풍속범죄 ,성풍속범죄,TUE,2937
풍속범죄 ,성풍속범죄,WED,3015
풍속범죄 ,성풍속범죄,THUR,3130
풍속범죄 ,성풍속범죄,FRI,3063
풍속범죄 ,성풍속범죄,SAT,2174
풍속범죄 ,도박범죄,SUN,911
풍속범죄 ,도박범죄,MON,1020
풍속범죄 ,도박범죄,TUE,1600
풍속범죄 ,도박범죄,WED,1191
풍속범죄 ,도박범죄,THUR,1025
풍속범죄 ,도박범죄,FRI,1154
풍속범죄 ,도박범죄,SAT,1087
